"Image Name","PID","Session Name","Session#","Mem Usage"
"RuntimeBroker.exe","11068","Console","13","82,524 K"
"svchost.exe","18988","Console","13","18,580 K"
"WidgetService.exe","2608","Console","13","24,164 K"
"dllhost.exe","19476","Console","13","19,656 K"
"ctfmon.exe","3732","Console","13","28,784 K"
"LockApp.exe","17552","Console","13","70,964 K"
"RuntimeBroker.exe","5140","Console","13","37,988 K"
"svchost.exe","15568","Console","13","17,224 K"
"SecurityHealthSystray.exe","14056","Console","13","10,212 K"
"OneDrive.exe","12940","Console","13","106,504 K"
"LocationNotificationWindows.exe","22688","Console","13","4,668 K"
"BraveCrashHandler64.exe","14988","Console","13","1,540 K"
"TextInputHost.exe","14072","Console","13","71,508 K"
"svchost.exe","21280","Console","13","26,504 K"
"RtkAudUService64.exe","2852","Console","13","6,140 K"
"ApplicationFrameHost.exe","9832","Console","13","40,240 K"
"SystemSettings.exe","10836","Console","13","2,772 K"
"svchost.exe","16140","Console","13","9,440 K"
"UserOOBEBroker.exe","7316","Console","13","9,060 K"
"ShellExperienceHost.exe","10116","Console","13","85,264 K"
"RuntimeBroker.exe","19564","Console","13","29,452 K"
"SystemSettingsBroker.exe","20680","Console","13","34,220 K"
"svchost.exe","16172","Console","13","13,184 K"
"AsusSoftwareManagerAgent.exe","1748","Console","13","49,436 K"
"wpscloudsvr.exe","21400","Console","13","10,920 K"
"wpscenter.exe","19824","Console","13","46,860 K"
"PushNotificationsLongRunningTask.exe","6580","Console","13","11,408 K"
"dllhost.exe","22576","Console","13","25,252 K"
"dllhost.exe","6552","Console","13","8,716 K"
"FileCoAuth.exe","22376","Console","13","30,176 K"
"FileCoAuth.exe","15888","Console","13","27,136 K"
"wlanext.exe","22796","Services","0","6,472 K"
"conhost.exe","22956","Services","0","5,612 K"
"CHXSmartScreen.exe","4116","Console","13","69,380 K"
"RuntimeBroker.exe","6988","Console","13","7,136 K"
"StartMenuExperienceHost.exe","16220","Console","13","102,688 K"
"RuntimeBroker.exe","14388","Console","13","33,528 K"
"brave.exe","8256","Console","13","293,424 K"
"brave.exe","11400","Console","13","7,864 K"
"brave.exe","19428","Console","13","45,440 K"
"brave.exe","23160","Console","13","201,004 K"
"brave.exe","22416","Console","13","20,392 K"
"brave.exe","10416","Console","13","87,228 K"
"brave.exe","7312","Console","13","377,244 K"
"brave.exe","7308","Console","13","620,720 K"
"brave.exe","15096","Console","13","45,640 K"
"brave.exe","1864","Console","13","63,880 K"
"brave.exe","20044","Console","13","81,148 K"
"Widgets.exe","8356","Console","13","55,492 K"
"msedgewebview2.exe","22428","Console","13","9,536 K"
"msedgewebview2.exe","4904","Console","13","7,576 K"
"msedgewebview2.exe","7700","Console","13","4,336 K"
"msedgewebview2.exe","19840","Console","13","6,888 K"
"msedgewebview2.exe","13512","Console","13","24 K"
"msedgewebview2.exe","15192","Console","13","24 K"
"msedgewebview2.exe","10940","Console","13","1,956 K"
"brave.exe","4864","Console","13","57,724 K"
"Code.exe","20972","Console","13","150,396 K"
"Code.exe","10720","Console","13","30,092 K"
"Code.exe","12884","Console","13","179,652 K"
"Code.exe","11756","Console","13","58,864 K"
"Code.exe","18596","Console","13","355,044 K"
"Code.exe","9848","Console","13","108,456 K"
"Code.exe","21732","Console","13","125,364 K"
"PhoneExperienceHost.exe","17636","Console","13","151,396 K"
"OfficeClickToRun.exe","12396","Services","0","37,760 K"
"SDXHelper.exe","20172","Console","13","27,576 K"
"brave.exe","20136","Console","13","21,788 K"
"BraveCrashHandler.exe","17676","Console","13","1,120 K"
"svchost.exe","6060","Services","0","14,296 K"
"svchost.exe","19164","Services","0","7,324 K"
"brave.exe","22520","Console","13","100,908 K"
"backgroundTaskHost.exe","22336","Console","13","1,612 K"
"OneDriveUpdaterService.exe","15576","Services","0","17,136 K"
"brave.exe","18144","Console","13","364,184 K"
"brave.exe","11132","Console","13","37,872 K"
"svchost.exe","21904","Services","0","5,712 K"
"svchost.exe","13028","Services","0","7,148 K"
"RtkUWP.exe","21552","Console","13","51,428 K"
"RuntimeBroker.exe","15416","Console","13","13,440 K"
"Code.exe","8328","Console","13","102,108 K"
"Code.exe","15828","Console","13","161,128 K"
"Code.exe","16136","Console","13","140,664 K"
"Code.exe","17128","Console","13","96,352 K"
"Code.exe","18488","Console","13","121,576 K"
"Code.exe","9404","Console","13","183,192 K"
"Code.exe","22028","Console","13","117,388 K"
"Code.exe","6808","Console","13","103,688 K"
"Code.exe","20540","Console","13","96,224 K"
"git-bash.exe","17816","Console","13","5,872 K"
"mintty.exe","6192","Console","13","20,216 K"
"conhost.exe","8384","Console","13","13,056 K"
"bash.exe","22272","Console","13","10,788 K"
"brave.exe","4516","Console","13","34,208 K"
"RuntimeBroker.exe","20848","Console","13","11,968 K"
"Notepad.exe","9104","Console","13","14,176 K"
"Notepad.exe","19648","Console","13","129,920 K"
"conhost.exe","19048","Console","13","6,844 K"
"powershell.exe","3824","Console","13","82,092 K"
"conhost.exe","21052","Console","13","6,788 K"
"svchost.exe","9000","Services","0","10,916 K"
"powershell.exe","10168","Console","13","88,372 K"
"svchost.exe","10024","Services","0","11,512 K"
"WmiPrvSE.exe","8856","Services","0","11,304 K"
"smartscreen.exe","20712","Console","13","11,632 K"
"cmd.exe","21628","Console","13","5,876 K"
"conhost.exe","6736","Console","13","8,564 K"
"OpenConsole.exe","21056","Console","13","15,556 K"
"WindowsTerminal.exe","6540","Console","13","128,032 K"
"tasklist.exe","20820","Console","13","9,716 K"
